latitude,longitude,swc_value
-6.9757965,107.6304357,0.039797768919469345
-6.9757977,107.6304283,0.04281172438183176
-6.9757978,107.6304208,0.04732666650724217
-6.975799,107.6304033,0.027702270175527073
-6.975798,107.6303933,0.06588898543115852
-6.9757982,107.6303862,0.06443716100194143
-6.9757985,107.6303657,0.13502616911127158
-6.9757985,107.6303603,0.05201143918665671
-6.97579,107.6303565,0.07687259936966236
-6.9757748,107.6303498,0.08559633312563737
-6.9757682,107.6303532,0.08967351794007733
-6.9757685,107.6303602,0.06277725393295172
-6.9757697,107.6303742,0.04117905260452793
-6.9757697,107.630383,0.07589127027846702
-6.9757682,107.6303908,0.0547140290370045
-6.975769,107.6304052,0.05739016035407192
-6.9757698,107.6304127,0.07338601774996034
-6.9757668,107.630424,0.06916622793331993
-6.975756,107.6304267,0.06711595856723299
-6.9757478,107.630427,0.044813834484554775
-6.9757442,107.63042,0.05501103687730317
-6.9757423,107.6304138,0.05878229408716095
-6.9757423,107.6304055,0.05503902958576087
-6.9757437,107.6303952,0.08799290108303963
-6.9757452,107.6303827,0.04175571148115099
-6.9757448,107.6303733,0.09285837790184022
-6.9757457,107.6303648,0.10568463364115205
-6.9757448,107.6303553,0.06317875833945631
-6.9757408,107.63035,0.08388358728306011
-6.975731,107.630348,0.029042415528918737
-6.97572,107.6303457,0.031406687690525584
-6.9757158,107.6303537,0.05589169659275348
-6.9757158,107.6303612,0.07319760894895233
-6.975716,107.6303708,0.0714717792172753
-6.9757172,107.6303807,0.0965357262076894
-6.9757158,107.6303882,0.05380643378683835
-6.9757157,107.630398,0.05579995028182698
-6.9757173,107.6304093,0.06782030650816198
-6.975718,107.6304197,0.061349803136052594
-6.9757183,107.6304265,0.026307291639867905
-6.975712,107.630425,0.0788763955529535
-6.9757015,107.6304245,0.03147254772232419
-6.9756915,107.6304255,0.05749681148094449
-6.9756875,107.6304212,0.09696549300709882
-6.9756892,107.630417,0.03855039045969635
-6.9756915,107.6304123,0.07384572140631729
-6.9756918,107.630402,0.040105888616354404
-6.975694,107.630394,0.05125491703370541
-6.9756947,107.6303897,0.07572640311449451
-6.9756935,107.6303788,0.04318206338559064
-6.975693,107.6303692,0.06017036495394764
-6.9756938,107.6303615,0.04224748121941397
-6.9756923,107.6303563,0.07350295479513323
-6.9756837,107.6303527,0.06566069043378527
-6.975675,107.6303482,0.11315216754393234
-6.9756673,107.6303498,0.13210297035766344
-6.9756683,107.6303533,0.10426965722587939
-6.9756697,107.6303648,0.05388980894392631
-6.975672,107.6303753,0.06786588599843116
-6.975673,107.63038,0.08257786719217439
-6.9756725,107.6303888,0.07663888447646436
-6.9756732,107.6303925,0.09737220805100759
-6.9756732,107.630401,0.09297453625797668
-6.9756735,107.6304077,0.12047372457211589
-6.9756752,107.6304153,0.09123521879527416
-6.9756752,107.63042,0.09485055202560146
-6.9756748,107.630428,0.09840701368055665
-6.9756752,107.6304358,0.10817429399388878
-6.9756762,107.6304397,0.10757327229858316
-6.9756773,107.6304458,0.10340144552447211
